PERIOD,CODE,NAME,PREREQUISITE,COREQUISITE,TIME,,
8,MCV00066,CLÍNICA MÉDICA DE CÃES E GATOS II,MCV00065,MCV00067;MCV00071;MCV00072,1M39,,
8,MCV00067,CLÍNICA MÉDICA DE GRANDES ANIMAIS,MFL00066;MZO00044;MCV00061;MCV00070;MCV00075;MSV00014,MCV00066;MCV00067;MCV00071;MCV00072;MCV00078 ,"**
4M39",,
8,MSV00010,EPIDEMIOLOGIA VETERINARIA,MSV00011;MSV00012;MSV00013;MSV00014,,4T37,,
8,MCV00071,FISIOPATOLOGIA E BIOTECNOLOGIA DA REPRODUÇÃO DA FÊMEA	,MCV00063;MCV00070;MCV00075,MCV00066;MCV00067;MCV00072,"**
**",,
8,MCV00072,FISIOPATOLOGIA E BIOTECNOLOGIA DA REPRODUÇÃO DO MACHO	,MCV00063;MCV00070;MCV00075,MCV00066;MCV00067;MCV00071,"2M37
3M37",,
8,MTA00024,INSP SANIT DE PROD DE ORIGEM ANIMAL I	,MTA00020;MSV00012;MTA00021;MTA00023;MSV00013;MSV00014,,**,,
9,MCV00079,CLÍNICA CIRÚRGICA VETERINÁRIA II	,MCV00078,,**,,
9,MTA00026,CONTROLE FÍSICO-QUÍMICO DE PRODUTOS DE ORIGEM ANIMAL	,MTA00024,MTA00025,**,,
9,MTA00027,CONTROLE MICROBIOLÓGICO DE PRODUTOS DE ORIGEM ANIMAL	,MTA00024,MTA00025,**,,
9,GIM00041,CRIAÇÃO E SAÚDE DE ANIMAIS DE LABORATORIO	,MFL00064;MZO00044;MSV00014;MSV00010,,2T310,,
9,MSV00024,DEFESA SANITARIA ANIMAL I	,MSV00012;MSV00013;MSV00014;MSV00010,,4T39,,
9,MZO00038,ECONOMIA RURAL	,MZO00046;MZO00047;MZO00037,,3M37,,
9,MZO00039,EXTENSAO RURAL E COOPERATIVISMO        ,MZO00040,,2M37,,
9,MTA00025,INSP SANIT DE PROD DE ORIGEM ANIMAL II	,MTA00024,MTA00026;MTA00027,1T310,,
9,MCV00073,MEDICINA VETERINÁRIA DE ANIMAIS SELVAGENS	,MCV00061;MCV00063;MCV00070;MCV00075,,4M17,,
9,MSV00015,SAUDE COLETIVA	,,MTA00025,**,,
